"X","Status"
1,""
2,"%"
3,"1"
4,"1/100"
5,"Average Watts"
6,"bpm"
7,"breaths per set"
8,"Celsius"
9,"cm"
10,"Cm"
11,"cm H2O"
12,"cmH2O"
13,"degrees"
14,"dynes"
15,"fr"
16,"Fr"
17,"Fr."
18,"fraction of O2"
19,"ft"
20,"hr"
21,"kg"
22,"L"
23,"l/min"
24,"L/min"
25,"L/Min"
26,"L/MIN"
27,"L/min/m2"
28,"lpm"
29,"Lpm"
30,"LPM"
31,"mA"
32,"MA"
33,"mcg"
34,"mcg/hr"
35,"mg"
36,"mg or mcg"
37,"mg/hr"
38,"mg/L"
39,"mg/mL"
40,"min"
41,"minutes"
42,"ml"
43,"mL"
44,"ml/cm"
45,"ml/cm/kg"
46,"ml/cmH2O"
47,"ml/cmH2O/kg"
48,"ml/hr"
49,"ml/Hr"
50,"mL/hr"
51,"mL/kg"
52,"mL/Kg"
53,"mL/min"
54,"mm"
55,"mmHg"
56,"mph"
57,"msec"
58,"mV"
59,"MV"
60,"ppm"
61,"PPM"
62,"pulses/min"
63,"Rev/Min"
64,"RPM"
65,"sec"
66,"secs"
67,"sets"
68,"sq meters"
69,"Units"
70,"units/hr"
71,"watts"
72,"Watts"
