"x","Status"
1,"C"
2,"C;C"
3,"C;C;C"
4,"C;C;C;C"
5,"C;C;C;C;C"
6,"C;C;C;C;C;C"
7,"C;C;C;CC"
8,"C;C;CC"
9,"C;C;CC;C"
10,"C;C;D;C"
11,"C;C;U"
12,"C;C;U;C"
13,"C;CC"
14,"C;CC;C"
15,"C;CC;C;C"
16,"C;CC;C;C;C;CC"
17,"C;CC;C;CC"
18,"C;CC;CC"
19,"C;CC;CC;C;C;C"
20,"C;CC;CC;C;CC"
21,"C;CC;CC;CC"
22,"C;CC;CC;CC;CC;C"
23,"C;CC;CO"
24,"C;CC;CO;CC"
25,"C;CC;U"
26,"C;CO"
27,"C;CO;CC;CO"
28,"C;D"
29,"C;U"
30,"C;U;C"
31,"C;U;CC"
32,"C;U;U;U;U"
33,"CC"
34,"CC;C"
35,"CC;C;C"
36,"CC;C;C;CC"
37,"CC;C;CC"
38,"CC;C;CC;CC"
39,"CC;C;U"
40,"CC;CC"
41,"CC;CC;C"
42,"CC;CC;C;C"
43,"CC;CC;C;C;C"
44,"CC;CC;C;C;CC"
45,"CC;CC;C;CC"
46,"CC;CC;C;CC;C"
47,"CC;CC;C;CC;CC;C"
48,"CC;CC;C;U"
49,"CC;CC;CC"
50,"CC;CC;CC;C"
51,"CC;CC;CC;C;C"
52,"CC;CC;CC;C;C;CC"
53,"CC;CC;CC;C;CC"
54,"CC;CC;CC;CC"
55,"CC;CC;CC;CC;C;C"
56,"CC;CC;CC;CC;C;C;CC"
57,"CC;CC;CC;CC;CC;C"
58,"CC;CC;CO;C;CC"
59,"CC;CO"
60,"CC;CO;CC"
61,"CC;CO;CC;CC;C"
62,"CC;D"
63,"CC;D;D"
64,"CC;U"
65,"CC;U;CC;CC"
66,"CC;U;CO"
67,"CC;U;U"
68,"CO"
69,"CO;C"
70,"CO;C;C"
71,"CO;C;CC"
72,"CO;C;CO"
73,"CO;CC"
74,"CO;CO"
75,"CO;CO;C;D;CO"
76,"CO;CO;CC;CO"
77,"CO;CO;CO"
78,"CO;D"
79,"CO;U"
80,"D"
81,"D;C"
82,"D;CC"
83,"D;CC;CC;CC;C;C;C;D"
84,"D;CC;D;D"
85,"D;CO"
86,"D;D"
87,"D;D;C"
88,"D;D;CC"
89,"D;D;D"
90,"D;D;D;D"
91,"D;U"
92,"U"
93,"U;C"
94,"U;C;C"
95,"U;C;U"
96,"U;CC"
97,"U;CC;U"
98,"U;CO"
99,"U;U"
100,"U;U;C"
101,"U;U;C;C"
102,"U;U;U"
